DESs;  Temperature;  Time;  Feedstocks;  Solid loading; Delignification;  Reference
cholinechloride:p-coumaric acid  (1:1);  180;  7;  Cortex albiziae;  10;  64.03;   (Zhou M., et al., 2022)
cholinechloride:Glycerol (1:32);  150;  3;  Apple residues;  5;  62;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:oxaclic acid:glycerol (1:1:2);  80;  24;  birch;  6;  61.4;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:p-coumaric acid (1:1);  160;  3;  Switchgrass;  10;  61;  (Loow Y.-L., et al., 2017) 
cholinechloride:lactic acid (1:15);  120;  8;  Oil palm empty fruit bunch;  10;  61;   (Zhou M., et al., 2022)
cholinechloride:p-coumaric acid (1:1);  160;  3;  Switchgrass;  5;  60.8;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid (1:5);  60;  12;  Rice straw;  5;  60;   (Zhou M., et al., 2022)
cholinechloride:glycol (1:2);  180;  2;  Corn stover;  10;  60;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:imidazole (3:7);  150;  3;  Populus;  5;  59.6;  (Loow Y.-L., et al., 2017) 
cholinechloride:Lactic acid (1:9);  60;  12;  Rice straw;  10;  59;   (Zhou M., et al., 2022)
cholinechloride:glycol (1:2);  150;  15;  Corncob;  6.25;  59;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:glutaric acid (1:4);  120;  8;  Akebia' herbal residues;  10;  58.4;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid (1:2);  145;  6;  Douglactic acids fir;  10;  58.2;   (Zhou M., et al., 2022)
cholinechloride:glycolic acid (1:4);  120;  6;   Akebia herba;  6.25;  58;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:malonic acid(1:1);  90;  24;  Wheat straw;  5;  57;   (Zhou M., et al., 2022)
cholinechloride:malonic acid (1:1);  90;  8;  Corncob;  5;  57;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:malonicacid (1:1);  90;  24;  Corncob;  5;  56.5;   (Zhou M., et al., 2022)
cholinechloride:glycolic acid (1:2);  90;  24;  Corncob;  5;  56.4;   (Zhou M., et al., 2022)
cholinechloride:glycolic acid (1:2);  90;  8;  Corncob;  5;  56;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
Glycose:lactic acid (1:5);  120;  8;  Oil palm empty fruit bunch;  5;  55;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:vanillin (1:2);  160;  3;  Switchgrass;  10;  53;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:Vanillin (1:2);  100;  12;  Switchgrass;  0.5;  52.5;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:2);  120;  6;  Corn straw;  5;  51.84;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:10);  110;  1.5;  Poplar;  10;  51.5;   (Zhou M., et al., 2022)
cholinechloride:malonicacid  (1:1);  80;  6;  Rice straw;  5;  51.3;   (Zhou M., et al., 2022)
cholinechloride:oxalic acid (1:1);  120;  24;  birch;  6;  51;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:Lactic acid(1:2);  60;  12;  Rice straw;  10;  51;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
