Recombinant ternary DES;Predicted delignification
cholinechloride[1]succinicacid[2]benzylalcohol[1];  48.13
cholinechloride[1]Levulinicacid[5]glycerol[1];  47.79
cholinechloride[1]citricacid[5]glycerol[1];  47.59
cholinechloride[1]citricacid[5]glycol[1];  47.56
cholinechloride[1]terephthalicacid[5]benzylalcohol[1];  47.53
cholinechloride[1]Levulinicacid[5]xylitol[1];  47.14
cholinechloride[1]malicacid[5]butanediol[1];  46.81
cholinechloride[1]glutaricacid[2]glycol[1];  45.86
cholinechloride[1]citricacid[2]benzylalcohol[1];  45.62
cholinechloride[1]succinicacid[2]butanediol[1];  45.27
cholinechloride[1]terephthalicacid[5]butanediol[1];  44.85
cholinechloride[1]terephthalicacid[5]xylitol[1];  44.18
cholinechloride[1]terephthalicacid[5]glycerol[1];  44.18
cholinechloride[1]malicacid[2]benzylalcohol[1];  43.52
cholinechloride[1]formicacid[2]xylitol[1];  43.36
cholinechloride[1]malicacid[5]propanediol[1];  43.19
cholinechloride[1]tartaricacid[5]xylitol[1];  43.16
cholinechloride[1]benzoicacid[2]benzylalcohol[1];  42.81
cholinechloride[1]glutaricacid[5]butanediol[1];  42.67
cholinechloride[1]maleicacid[5]xylitol[1];  42.36
cholinechloride[1]tartaricacid[2]benzylalcohol[1];  42.33
cholinechloride[1]benzoicacid[2]butanediol[1];  41.3
cholinechloride[1]succinicacid[2]glycerol[1];  41.14
cholinechloride[1]Levulinicacid[2]propanediol[1];  40.09
cholinechloride[1]malicacid[2]butanediol[1];  39.65
cholinechloride[1]formicacid[2]glycerol[1];  39.31
cholinechloride[1]benzoicacid[2]glycerol[1];  39.22
cholinechloride[1]Levulinicacid[2]benzylalcohol[1];  39.1
cholinechloride[1]tartaricacid[5]glycerol[1];  39.07
cholinechloride[1]glutaricacid[2]benzylalcohol[1];  39.06
cholinechloride[1]citricacid[2]butanediol[1];  38.74
cholinechloride[1]terephthalicacid[2]benzylalcohol[1];  38.69
cholinechloride[1]citricacid[5]propanediol[1];  38.35
cholinechloride[1]tartaricacid[5]glycol[1];  37.61
cholinechloride[1]malicacid[2]glycerol[1];  37.52
cholinechloride[1]tartaricacid[5]benzylalcohol[1];  36.84
cholinechloride[1]tartaricacid[5]propanediol[1];  36.49
cholinechloride[1]citricacid[2]propanediol[1];  36.16
cholinechloride[1]terephthalicacid[2]xylitol[1];  36.05
cholinechloride[1]citricacid[2]glycol[1];  35.96
cholinechloride[1]glutaricacid[2]propanediol[1];  35.74
cholinechloride[1]tartaricacid[5]butanediol[1];  35.52
cholinechloride[1]citricacid[2]glycerol[1];  35.4
cholinechloride[1]tartaricacid[2]glycol[1];  35.31
cholinechloride[1]Levulinicacid[2]butanediol[1];  35.3
cholinechloride[1]tartaricacid[2]xylitol[1];  35.21
cholinechloride[1]terephthalicacid[2]glycol[1];  34.62
cholinechloride[1]glutaricacid[2]butanediol[1];  33.67
cholinechloride[1]tartaricacid[2]butanediol[1];  33.63
cholinechloride[1]tartaricacid[2]propanediol[1];  32.95
cholinechloride[1]terephthalicacid[2]butanediol[1];  32.43
cholinechloride[1]terephthalicacid[2]propanediol[1];  32.31
cholinechloride[1]Levulinicacid[2]glycerol[1];  32.05
cholinechloride[1]tartaricacid[2]glycerol[1];  31.95
cholinechloride[1]terephthalicacid[2]glycerol[1];  31.84
cholinechloride[1]glutaricacid[2]glycerol[1];  30.68
cholinechloride[1]succinicacid[2]xylitol[1];  30.08
cholinechloride[1]malicacid[2]xylitol[1];  30.01
cholinechloride[1]benzoicacid[2]xylitol[1];  29.33
cholinechloride[1]glutaricacid[2]xylitol[1];  29.18
cholinechloride[1]Levulinicacid[2]xylitol[1];  26.75
